Winery,Year,Wine ID,Wine,Rating,num_review
Casal Branco,2020,2468359,Lobo e Falcão Wolf & Falcon Tinto 2020,4.0,1781
Casa Ermelinda Freitas,2020,5485856,Vinha do Fava 2020,4.1,1163
Quinta da Romaneira,2016,5027756,R de Romaneira 2016,3.8,409
Casa Ermelinda Freitas,2020,1199466,Syrah Reserva 2020,4.1,346
Casa Ermelinda Freitas,2020,8448623,Vinha do Fava Reserva Tinto 2020,4.1,72
Dos Lusíadas,2018,7175987,Eleivera Tinto 2018,3.9,29
Quinta da Romaneira,2019,5027756,R de Romaneira 2019,3.7,324
Conceito,2015,1645818,Contraste Tinto 2015,3.4,115
Quinta da Pellada,2017,1736138,Álvaro Castro Tinto 2017,3.6,126
Quinta do Noval,2019,1984755,Maria Mansa Douro Tinto 2019,3.9,531
CARM,2019,1151644,Douro Tinto 2019,4.1,1236
Monte do Além,2012,1578725,Petit Verdot 2012,3.8,54
Prats & Symington (P+S),2016,5530762,Quinta do Ataíde Douro 2016,4.1,1040
Quinta da Corte,2019,6052553,Princesa Reserva Tinto 2019,4.1,105
Quinta do Noval,2019,1164787,Cedro do Noval 2019,4.1,481
CARM,2019,1157592,Reserva Tinto 2019,4.0,139
Quinta Dona Mafalda,2017,6505699,Touriga Nacional 2017,4.3,41
Esporão,2019,1105366,Esporão Reserva Tinto 2019,4.2,2214
Quinta Dona Mafalda,2019,6353184,Little Mafalda 2019,3.9,138
Quinta da Pedra Escrita,2019,7199688,Tinto 2019,4.1,69
Quinta do Paral,2017,7322535,Reserva Tinto 2017,4.3,479
Casa Ferreirinha,2018,9759551,Castas Escondidas Douro 2018,4.3,752
CARM,2018,5513980,SO2 Free Douro Tinto 2018,3.7,52
Casa Ermelinda Freitas,2017,6023708,Dona Ermelinda Grande Reserva 2017,4.4,333
Quinta do Paral,2019,7335944,Vinhas Velhas Tinto 2019,4.5,35
