,Winery,Year,Wine ID,Wine,Rating,num_review,price,volume_ml,image,country
0,Santa Írene,2019,1229732,Malbec 2019,3.2,33,5.4,750,//images.vivino.com/thumbs/7kMBOlKyTmGxSMAuvwERjw_pl_480x640.png,Argentine
1,Dourthe,2014,1146771,Beau Mayne Bordeaux Rouge 2014,3.4,410,5.75,750,//images.vivino.com/thumbs/N2YEF9-ZQmKRz_MfQqzxhg_pl_480x640.png,France
2,Château Les Vallées,2016,1286434,Bordeaux 2016,3.6,177,5.79,750,//images.vivino.com/thumbs/Tf5IAoosTwCkP8ZFBNZVqQ_pl_480x640.png,France
3,Plaimont,2016,1429144,Les Bastions Saint-Mont Rouge 2016,3.5,43,5.9,750,//images.vivino.com/thumbs/OPuY4pJHR7G4frzGrQDmow_pl_480x640.png,France
4,Uby,2018,1957424,No. 7 Tannat - Merlot 2018,3.6,251,5.9,750,//images.vivino.com/thumbs/cylQsTUqRp6TSmMq15Ja9w_pl_480x640.png,France
5,Demon Noir,2020,1234332,Rouge 2020,4.0,135,5.9,750,//images.vivino.com/thumbs/cafuD51fSN6Bnzkfbp2_mw_pl_480x640.png,France
6,Les Passeurs de Vins,2019,8857071,Encierro 2019,3.7,60,5.9,750,//images.vivino.com/thumbs/i60u7gKmSI2Nh66OEbAm2g_pl_480x640.png,Espagne
7,Château Maison Noble,2018,1494313,Château Jean de Bel Air Bordeaux Rouge 2018,3.6,41,5.9,750,//images.vivino.com/thumbs/GsGc9eCRRnKEcDa0McKyIA_pl_480x640.png,France
8,Château Mayne Guyon,2018,1201035,Blaye - Côtes de Bordeaux 2018,3.8,414,5.95,750,//images.vivino.com/thumbs/5ImE5vWSQDKb2Rg9CntEPQ_pl_480x640.png,France
9,Villa des Anges,2020,7249882,Réserve 2020,4.1,642,5.95,750,//images.vivino.com/thumbs/xPM2UhsOQ5m3Z70TaM4hqg_pl_480x640.png,France
10,Foncalieu,2017,1787201,Les Cardounettes Rouge 2017,3.2,93,6.0,750,//images.vivino.com/thumbs/5ihfsa-IT9ak1mKFR8P5nw_pl_480x640.png,France
